"","region","oktmo","year","index"
"249","Вологодская область",19,"2009",0.728460520601929
"250","Воронежская область",20,"2009",0.72131440224138
"251","Город Москва столица Российской Федерации город федерального значения",45,"2009",1
"252","Город Санкт-Петербург город федерального значения",40,"2009",0.756911091501001
"253","Еврейская автономная область",99,"2009",0.830313861981813
"254","Забайкальский край",76,"2009",0.665464953334034
"255","Ивановская область",24,"2009",0.651601390726691
"256","Иркутская область",25,"2009",0.682871354061571
"257","Кабардино-Балкарская Республика",83,"2009",0.583582618334048
"258","Калининградская область",27,"2009",0.765793293528323
"259","Калужская область",29,"2009",0.645814755130374
"260","Камчатский край",30,"2009",1.28943871587461
"261","Карачаево-Черкесская Республика",91,"2009",0.627011676487736
"262","Кемеровская область - Кузбасс",32,"2009",0.582006473816009
"263","Кировская область",33,"2009",0.642688502699903
"264","Костромская область",34,"2009",0.621635117429741
"265","Краснодарский край",3,"2009",0.715244153619693
"266","Красноярский край",4,"2009",0.743674267185787
"267","Курганская область",37,"2009",0.632909897536658
"268","Курская область",38,"2009",0.650729164438832
"269","Ленинградская область",41,"2009",0.727043385353851
"270","Липецкая область",42,"2009",0.655423192478397
"271","Магаданская область",44,"2009",1.05917841491005
"272","Московская область",46,"2009",0.788665521675939
"273","Мурманская область",47,"2009",0.9264949428543
"274","Нижегородская область",22,"2009",0.666366005863816
"275","Новгородская область",49,"2009",0.666918353854208
"276","Новосибирская область",50,"2009",0.718775833194626
"277","Омская область",52,"2009",0.618495846696466
"278","Оренбургская область",53,"2009",0.601020634939823
"279","Орловская область",54,"2009",0.591239240140263
"280","Пензенская область",56,"2009",0.607329862405838
"281","Пермский край",57,"2009",0.727326998379221
"282","Приморский край",5,"2009",0.885119057028535
"283","Псковская область",58,"2009",0.653147779124036
"284","Республика Адыгея (Адыгея)",79,"2009",0.65157349436354
"285","Республика Алтай",84,"2009",0.755249398135965
"286","Республика Башкортостан",80,"2009",0.600235817256504
"287","Республика Бурятия",81,"2009",0.695222933786122
"288","Республика Дагестан",82,"2009",0.62754821653901
"289","Республика Ингушетия",26,"2009",0.622381810083419
"290","Республика Калмыкия",85,"2009",0.624581903257272
"291","Республика Карелия",86,"2009",0.714294747393782
"292","Республика Коми",87,"2009",0.845982319285035
"293","Республика Марий Эл",88,"2009",0.575665630471755
"294","Республика Мордовия",89,"2009",0.590774300754411
"295","Республика Саха (Якутия)",98,"2009",0.979279511330108
"296","Республика Северная Осетия-Алания",90,"2009",0.598596440981989
"297","Республика Татарстан (Татарстан)",92,"2009",0.604871262933451
"298","Республика Тыва",93,"2009",0.676785297500765
"299","Республика Хакасия",95,"2009",0.67880685395045
"300","Ростовская область",60,"2009",0.698318500217127
"301","Рязанская область",61,"2009",0.687182272047193
"302","Самарская область",36,"2009",0.752563908243282
"303","Саратовская область",63,"2009",0.594579364688226
"304","Сахалинская область",64,"2009",1.0568862637378
"305","Свердловская область",65,"2009",0.708533218524301
"306","Смоленская область",66,"2009",0.655664031080268
"307","Ставропольский край",7,"2009",0.704439892171258
"308","Тамбовская область",68,"2009",0.63803352956875
"309","Тверская область",28,"2009",0.710721223274122
"310","Томская область",69,"2009",0.729846969850541
"311","Тульская область",70,"2009",0.652793495312016
"312","Тюменская область",71,"2009",0.891457110736473
"313","Удмуртская Республика",94,"2009",0.590382821791523
"314","Ульяновская область",73,"2009",0.596067170722953
"315","Хабаровский край",8,"2009",0.954792083756041
"316","Челябинская область",75,"2009",0.639095451126037
"317","Чеченская Республика",96,"2009",0.608976677710527
"318","Чувашская Республика - Чувашия",97,"2009",0.592807945628128
"319","Чукотский автономный округ",77,"2009",1.41312654069289
"320","Ярославская область",78,"2009",0.661324203163633
"321","Алтайский край",1,"2010",0.616975071590349
"322","Амурская область",10,"2010",0.782343255784279
"323","Архангельская область",11,"2010",0.804749133186267
"324","Астраханская область",12,"2010",0.625590451675595
"325","Белгородская область",14,"2010",0.596007135723523
"326","Брянская область",15,"2010",0.616939900096599
"327","Владимирская область",17,"2010",0.687475103899046
